pair	pattern	description
r2b-001	P1	blurred rule or threshold
r2b-002	P5	category membership undecided
r2b-003	P1	blurred rule or threshold
r2b-004	P1	blurred rule or threshold
r2b-005	P1	blurred rule or threshold
r2b-006	P3	unit, currency, format or scale unstated
r2b-007	P2	blurred measurement or count
r2b-008	P7	unsettled or in-progress status
r2b-009	P2	blurred measurement or count
r2b-010	P8	defers to a document not supplied
r2b-011	P1	blurred rule or threshold
r2b-012	P5	category membership undecided
r2b-013	P1	blurred rule or threshold
r2b-014	P6	boundary or inclusive/exclusive edge
r2b-015	P4	tie with no tiebreaker
r2b-016	P8	defers to a document not supplied
r2b-017	P3	unit, currency, format or scale unstated
r2b-018	P7	unsettled or in-progress status
r2b-019	P1	blurred rule or threshold
r2b-020	P5	category membership undecided
r2b-021	P7	unsettled or in-progress status
r2b-022	P5	category membership undecided
r2b-023	P1	blurred rule or threshold
r2b-024	P2	blurred measurement or count
r2b-025	P4	tie with no tiebreaker
r2b-026	P2	blurred measurement or count
r2b-027	P5	category membership undecided
r2b-028	P6	boundary or inclusive/exclusive edge
r2b-029	P2	blurred measurement or count
r2b-030	P7	unsettled or in-progress status
r2b-031	P4	tie with no tiebreaker
r2b-032	P1	blurred rule or threshold
r2b-033	P6	boundary or inclusive/exclusive edge
r2b-034	P2	blurred measurement or count
r2b-035	P1	blurred rule or threshold
r2b-036	P8	defers to a document not supplied
r2b-037	P4	tie with no tiebreaker
r2b-038	P6	boundary or inclusive/exclusive edge
r2b-039	P7	unsettled or in-progress status
r2b-040	P1	blurred rule or threshold
r2b-041	P5	category membership undecided
r2b-042	P3	unit, currency, format or scale unstated
r2b-043	P1	blurred rule or threshold
r2b-044	P5	category membership undecided
r2b-045	P7	unsettled or in-progress status
r2b-046	P1	blurred rule or threshold
r2b-047	P5	category membership undecided
r2b-048	P5	category membership undecided
r2b-049	P2	blurred measurement or count
r2b-050	P3	unit, currency, format or scale unstated
r2b-051	P1	blurred rule or threshold
r2b-052	P7	unsettled or in-progress status
r2b-053	P2	blurred measurement or count
r2b-054	P5	category membership undecided
r2b-055	P3	unit, currency, format or scale unstated
r2b-056	P6	boundary or inclusive/exclusive edge
r2b-057	P2	blurred measurement or count
r2b-058	P7	unsettled or in-progress status
r2b-059	P4	tie with no tiebreaker
r2b-060	P8	defers to a document not supplied
r2b-061	P7	unsettled or in-progress status
r2b-062	P3	unit, currency, format or scale unstated
r2b-063	P5	category membership undecided
r2b-064	P8	defers to a document not supplied
r2b-065	P1	blurred rule or threshold
r2b-066	P7	unsettled or in-progress status
r2b-067	P2	blurred measurement or count
r2b-068	P5	category membership undecided
r2b-069	P7	unsettled or in-progress status
r2b-070	P8	defers to a document not supplied
r2b-071	P2	blurred measurement or count
r2b-072	P4	tie with no tiebreaker
r2b-073	P6	boundary or inclusive/exclusive edge
